Tract,Median_EMV_2017
27037060714,261500
27037060735,224350
27053027101,527000
27123037100,148800
27003050222,277100
27037060745,263800
27053109200,310750
27163071208,201000
27123040801,388700
27163071400,203200
27053026909,291000
27123042302,183400
27037060710,237800
27123042202,208600
27123035300,282300
27037060819,275850
27053025801,246950
27037060818,269300
27123041002,213000
27053023802,353600
27053025702,266800
27037060742,289000
27123041800,228000
27037060828,248900
27123040504,205900
27037060812,228500
27123031200,156400
27053021504,215000
27123036100,133600
27163070907,235600
27037060746,273900
27123030201,219100
27123041500,243550
27037061401,295850
27123043000,391200
27053027002,310000
27123040502,192900
27123041601,235100
27037061003,367200
27053111200,383500
27123034900,354000
27019091202,229100
27053022400,233150
27123042501,195350
27053022700,246700
27037060907,267000
27037060822,289400
27053021800,470500
27123035100,375400
27053026710,260100
27163070103,187900
27053026822,285500
27123042900,372800
27123042503,287300
27037061009,335900
27053026006,349900
27123040803,309200
27037060905,219400
27003050821,346150
27123042402,200700
27037060821,324800
27037061502,296150
27053109100,580000
27037060725,275400
27037060748,248750
27053026606,374000
27053025805,259350
27123032000,163900
27053022802,313000
27037060814,295950
27037061105,178900
27123035500,452100
27123041104,279100
27123031900,241250
27163070704,207800
27053106500,792750
27037061001,299600
27037060506,274400
27037060749,416350
27123042101,219600
27053023903,642300
27037060811,244100
27037060747,237500
27053023700,418600
27163070106,272000
27053023200,309500
27123037500,351700
27163071017,412700
27053105100,349000
27163070911,228400
27037061108,198800
27037060726,283800
27037060734,293350
27163070602,231500
27037060902,301350
27053026711,223700
27019091100,307400
27053024003,465500
27163071011,320650
27163071013,260500
27037060820,317700
27123042301,271600
27123042401,213300
27163070501,309300
27053102800,119500
27053022000,202500
27053010700,471750
27053108000,550000
27037060605,327650
27053026104,531850
27037060733,307650
27123036500,260050
27019090200,218500
27053010600,540000
27163070601,251100
27053106000,153000
27163070906,239800
27053026707,214400
27053026706,225200
27053026103,287300
27019091000,237400
27037060717,288350
27053111400,429000
27123035000,357200
27053026708,280200
27123042102,253450
27053023502,686900
27003050237,314900
27037060727,314200
27037060603,374600
27053025907,295200
27053026101,300400
27003051600,225350
27123040604,238800
27037061007,252350
27037061004,343100
27053026403,279900
27053105500,852500
27123033300,274400
27037060824,248700
27053026714,364100
27037060731,308250
27053026511,280000
27037060505,425200
27053106600,711500
27037060806,314100
27123042601,172600
27053109800,444250
27037060606,412700
27053008100,330000
27123042602,162700
27037060716,302700
27037060825,298500
27163071207,239400
27053022801,453000
27053021700,268000
27053025301,264600
27053026013,304950
27053026014,325000
27003051001,187150
27037060729,343300
27123041900,262300
27053026505,308000
27003050236,309800
27053026508,342000
27123040603,261800
27037060509,313400
27037061501,293300
27053020101,280000
27053026609,284000
27163071209,244000
27053025905,376750
27123030202,248300
27053026020,301600
27037060815,351100
27037060816,336600
27123035700,462700
27053026512,330000
27019090503,408100
27163071010,315200
27037060813,382900
27163070909,237400
27053026507,288000
27139080100,192400
27053026016,363000
27123030100,357400
27123041301,280550
27019090302,283150
27163070303,351200
27003050901,170300
27037060508,418900
27037060823,312200
27139080500,175300
27053026715,435100
27163071014,309200
27037060732,312850
27053026005,320350
27053027504,443500
27163070304,276300
27139080400,172100
27053023501,353200
27003050819,392300
27053027503,423000
27053026208,302400
27053026716,365100
27053026205,311750
27053026510,305000
27123033100,102700
27053105600,424750
27053026509,308000
27053025906,355900
27053026402,292400
27053025903,346300
27163071001,206650
27053026610,344000
27053026302,320400
27123034202,71100
27037060744,341400
27053026605,392000
27163070405,410900
27053027400,594000
27163070301,481600
27053023902,617800
27019090601,287800
27053026713,268500
27163070206,389700
27053026301,472350
27037060604,381400
27053026611,326000
27163070403,424100
27053026015,349900
27053026514,241000
27019090402,368150
27163070404,395900
27019090501,410900
27139081300,191100
27163071015,299050
27163071018,406400
27163071012,247800
27139080905,301300
27139080203,218600
27019090900,350350
27037060730,312650
27019090100,208600
27053026613,5.00E+05
27053026021,514000
27053026202,319600
27139080800,239800
27053026206,343100
27053026018,405550
27037060728,386050
27019090701,341050
27139080904,238500
27053023600,870400
27053007801,180250
27139080906,250200
27053026201,354700
27163071102,409700
27053026612,403000
27053005901,271000
27019090800,255100
27053026207,326000
27037060805,335300
27163071006,338600
27163071016,407900
27053026712,252900
27053026404,413500
27019090401,427600
27123040601,570200
27163070701,435200
27139080205,277750
27139080204,399200
27123042002,190450
27139081100,309000
27053026022,455200
27139081200,219500
27163070406,351500
27053026007,435300
27163070205,299700
27163071101,224950
27123035800,660850
27019090502,557800
27139080600,209100
27139080201,291300
27123041103,278700
27053104800,206750
27163070703,214800
27019090301,263200
27139080700,273050
27139080202,352900
27123034000,314800
27139080301,278100
27139081000,416300
27019090702,457250
27139080903,386400
27053106900,256000
27139080302,292100
27053024004,214700
27053024005,186600
