TRACT,poc_diff,age_diff,hhi_diff,emv_diff,rent_diff,bld_diff
27139081100,1.6567444669491325,3.5582485863693716,12789.800000000003,64134.491877597,289.29999999999995,13.599544678777704
27037060904,10.378847793821325,0.2426964609557558,-12984.419999999998,34172.912731394,170.29999999999995,-0.3400744749622895
27037060905,8.264232921506252,-2.6374106667624373,-10260.660000000003,40470.343785417004,-351.20000000000005,-8.311927039311506
27037060820,1.740508654893878,4.748640093696571,320.0599999999977,79400.71779372901,619.38,-4.508873852450499
27037060821,7.752620739226844,3.1676680253151357,14306.36,155719.682659615,5.899999999999977,18.4407180670157
27037060902,0.0472096989107591,6.064333944242928,2392.9600000000064,108603.910086891,240.596,52.698623761718
27019091100,8.686878990597164,1.102377268965987,13896.820000000007,113696.335474122,74.27999999999997,2.7878232038155986
27037060906,7.9576189018167,8.126798039140642,-6749.960000000006,47163.88364185899,371.5,-51.25238847073081
27037060907,4.494255631289288,1.4978652969392954,20812.759999999995,80409.74688326399,-8.660000000000082,-15.435776295393794
27037060815,2.2214318859089675,8.605177967999609,-3037.199999999997,117246.599924443,-130.81999999999994,29.205039276932997
27037061108,5.260291596649932,1.6593604185834625,3516.6200000000026,37243.483188515005,101.89999999999998,-5.707519760380702
27037060818,7.758619370278313,3.3603657819294908,-10926.440000000002,64379.03286739701,-142.5,-5.309340611116504
27037060813,6.627222033606097,12.547094373505821,-37970.240000000005,57324.63165848103,195.33999999999992,-0.01635514681340311
27037060816,7.223309792005089,3.478781900616223,7385.360000000001,72514.60143558698,595.06,-49.8535877078387
27037061107,3.606541340836768,8.847036889986015,-28470.520000000004,58575.991688704,157.84000000000003,15.199450896774302
27139080903,9.642479703379827,8.170272200203797,10574.580000000002,156855.685681904,-1325,25.019488222335205
27139080904,5.694406306140815,8.37705451667875,-14945.940000000002,53004.11786928601,133.91999999999996,-1.6266488067421
27037060819,10.295006368904222,3.1373690792450293,4162.460000000006,54923.85719682701,496.44000000000005,-40.992738536535796
27037060814,9.374303831293611,7.607649654299582,-1977.2400000000052,52589.251983377006,548.28,-38.6738788840448
27037060817,8.376512862405352,5.831068283531544,5752.979999999996,70669.24820551599,544.5,17.9612071494346
27139080906,5.670402564899849,7.510474774022974,-6541.179999999993,51503.26785039701,184.18000000000006,-9.464660574392
27037060742,9.11498405650572,14.493265552860986,-9577.580000000002,50563.92142047599,443.5,-14.14478217008243
27037061007,6.47673375446698,7.669410581503639,-17969.559999999998,47018.643747639,-569.5,-36.0155844155844
27037060829,11.994692712709913,3.3748524658250796,-14563.899999999994,84726.69059312399,-71,-25.4040982877693
27139080205,7.202320566822924,5.430188328041444,-6958.899999999994,35346.826596147,533.5,-54.6534351748596
27037060746,5.935718387268755,9.73452688568968,-11071.839999999997,50374.72610502501,-82.46000000000004,-27.9083212484657
27037060812,16.13383120968508,7.526690759039535,542.1199999999953,46560.82357385699,205.44000000000005,-6.088666385237089
27037060739,30.232077261780194,3.0684728704530704,-13672.539999999994,48812.78806195699,-57.40000000000009,-10.901581297639003
27037060826,10.256321413245985,6.033525856470317,-2874.9400000000023,65085.946354363,-235.20000000000005,-1.4660128870659044
27139080204,4.351851851851901,5.307180948206586,-18250,189354.363430298,436.64,34.1278833913859
27037060828,17.182607168967866,3.700994714596045,-4409.899999999994,51502.833396297996,-27,-20.138363129407892
27037061105,6.0979396127611505,0.3772201896823528,-14376.320000000007,26782.43294295401,-97.89999999999998,-0.9153068756478397
27139080905,4.881916800509067,4.3888755906160775,-24678.679999999993,71482.092935399,858.4000000000001,-21.0226330191717
27037061003,5.123006734959826,8.50272739096174,-4311.020000000004,131226.256139025,303.98,10.9584337900937
27037060811,8.083534584824775,11.536375704667318,-13435.619999999995,48481.18624858299,-62.180000000000064,-10.72513674421897
27037061106,2.155374955739771,7.542696414363782,-38729.600000000006,42001.30336229701,34.98000000000002,15.2247517608257
27037060745,19.7143154542539,9.631634323781444,-20483.119999999995,46567.35927465101,-66.38000000000011,-16.4563904940422
27037061008,19.320109926624625,-2.07232073917951,-5114.199999999997,48104.94899886701,141.12,8.825604192984951
27037060823,9.17676901714923,8.576911977915378,-8255.539999999994,49482.56516811502,-243.51,-46.2455698241738
27037061009,14.50423102949806,-7.239230770960131,36634.8,154781.601813374,780.12,13.014157014157007
27139080302,21.373110924727346,1.775361890026042,2287.2400000000052,82596.35436343,648.46,-1.608188590550597
27037061005,3.0621141915347856,4.715573440793046,-14171.600000000006,51600.188893085986,59.620000000000005,-26.920944251432235
27037060741,27.427545239108152,6.741793230237198,-13749.960000000006,59542.274272762006,39.48000000000002,-27.666434362674902
27037060824,20.272956903046108,8.08279060523949,-22468.380000000005,54722.74272761599,-329.94000000000005,-10.97312249659575
27037061102,4.575257772806378,3.4503257781950385,-9883,42499.31998488901,43.620000000000005,4.850478781232299
27037060825,2.768807056333011,9.339487721996166,-5210.699999999997,60679.50510011299,250.77999999999997,-28.60017927503758
27139080700,7.688681388586016,0.7899684205743354,7062.5,26269.342652058986,-44.10000000000002,20.9599818012929
27037061004,6.482227126072112,6.705528462019832,11266.539999999994,101380.80846241,-305.5,-17.558041068474104
27037060711,14.310395282975918,4.2903177839655235,-12329.54,51029.24064979199,-89.81999999999994,-3.3255132927383
27139080202,7.648882139122687,3.2015692568149907,25623.320000000007,44560.97468832601,282.02,-31.60561533855831
27037060806,8.14470564345141,12.545839231214874,-29379.22,31889.081979599025,206.5,-17.73562276145651
27139080203,16.64530752806389,3.220913966997382,-12892.259999999995,37481.601813374,18.24000000000001,-6.427589140478698
